270914,45554,4173,4621,45527,1428,30809,27,27,45500,3480,45500,45500
250802,57610,2639,6045,42008,1902,39234,1008,808,41000,3136,41000,41000
299391,56606,3315,4765,56485,1903,31767,485,485,56000,4284,56000,56000
167656,38993,1619,3932,23580,1177,26216,700,700,22880,1750,22880,22880
176962,40462,4604,4349,21751,1219,28994,751,1,21000,1606,21000,21000
193328,30406,3433,2463,32167,830,16420,167,50,32000,2448,32000,32000
178808,8730,824,372,8730,186,2480,1030,22,7700,589,7700,7000
260530,25938,4145,629,25001,693,4194,1,1,25000,1912,25000,25000
187347,95500,5575,12830,95500,3406,65129,6500,5000,89000,5047,89000,89000
253471,72700,3894,8756,44850,2496,48915,2850,2500,42000,3213,42000,42000
270708,36956,2548,3321,22205,1095,22141,2205,205,20000,1530,20000,20000
280169,56839,1804,6352,56839,1951,36849,16839,17839,40000,3060,40000,40000
178670,6539,215,43,8539,120,289,2072,72,6467,494,6467,2000
248899,70240,3536,9795,38040,2321,52627,3040,40,35000,2677,35000,35000
345103,23024,2005,799,6012,563,5328,12,12,6000,459,6000,6000
197601,59646,4846,6530,41323,1970,40967,323,323,41000,3136,41000,41000
200017,58427,2188,7612,29214,1920,44829,4214,4213,25000,1912,25000,25000
196740,15380,705,632,15380,464,4215,80,80,15300,1170,15300,15300
280501,40050,1323,5483,40050,1360,30146,50,50,40000,3060,40000,40000
242873,14669,2745,35,20477,322,234,11722,2232,8755,669,8755,8755
277591,96559,2791,15594,37553,3251,73337,553,509,37000,2830,37000,37000
266417,51221,1061,5239,36421,1683,34930,421,421,36000,2754,36000,36000
247098,61450,3187,8379,38225,1990,47571,225,225,38000,2907,38000,38000
185484,42339,3862,2228,42339,1339,14858,5,5,42334,3238,42334,42334
198176,57236,3218,5573,35847,1912,37157,847,47,35000,2677,35000,35000
186223,47006,3266,4070,28003,1507,29576,3,3,28000,2142,28000,28000
171074,23055,1728,1537,22137,613,10248,15959,144,6178,667,3628,3628
153772,63000,4476,6654,62500,2139,41408,500,400,62000,4656,62000,62000
54343,72412,3614,8007,65057,2525,46242,57,57,65000,4699,65000,65000
272882,65200,4216,7218,35100,2061,43423,100,100,35000,2677,35000,32000
