270518.333 ,45724.375 ,4174.000 ,4638.600 ,45552.800 ,1432.286 ,30743.200 ,28.000 ,26.400 ,45651.400 ,3480.000 ,45782.125 ,45511.400 
251009.000 ,57640.500 ,2648.571 ,6030.875 ,42078.400 ,1907.800 ,39220.200 ,1009.875 ,808.000 ,40979.400 ,3148.200 ,40979.400 ,40985.286 
297793.000 ,56552.000 ,3303.500 ,4775.600 ,56495.333 ,1907.800 ,31940.200 ,475.800 ,482.400 ,56000.000 ,4284.000 ,56000.000 ,56000.000 
167784.800 ,38950.143 ,1614.000 ,3937.600 ,23530.600 ,1182.200 ,26274.600 ,694.857 ,696.750 ,22976.000 ,1757.200 ,22896.000 ,22976.000 
177525.600 ,40581.444 ,4606.400 ,4321.400 ,21660.167 ,1217.600 ,29153.200 ,752.889 ,1.000 ,20962.778 ,1603.222 ,21000.000 ,20958.125 
193400.500 ,30508.400 ,3434.400 ,2442.200 ,32179.200 ,838.600 ,16181.800 ,167.200 ,50.000 ,32000.000 ,2449.400 ,32000.000 ,32000.000 
179051.500 ,8625.200 ,798.600 ,406.000 ,8352.600 ,175.167 ,2805.400 ,1027.000 ,22.400 ,7740.000 ,591.800 ,7740.000 ,6985.667 
260296.200 ,25989.600 ,4137.400 ,612.714 ,25016.833 ,687.600 ,4045.800 ,3.000 ,1.000 ,24948.800 ,1912.000 ,25000.000 ,25000.000 
187461.429 ,95599.000 ,5579.400 ,12837.200 ,96048.000 ,3403.600 ,65243.400 ,6464.667 ,4969.000 ,88800.400 ,5037.000 ,88800.000 ,89750.000 
253932.200 ,72773.000 ,3897.600 ,8779.714 ,44740.600 ,2501.200 ,48835.200 ,2867.400 ,2500.000 ,42000.000 ,3213.000 ,42000.000 ,42000.000 
270518.333 ,37133.200 ,2546.800 ,3335.600 ,22207.800 ,1095.500 ,22240.800 ,2206.000 ,204.600 ,20152.000 ,1530.000 ,20000.000 ,20000.000 
280134.400 ,56840.000 ,1792.400 ,6365.600 ,56772.750 ,1949.600 ,36919.000 ,16598.800 ,16978.400 ,40000.000 ,3060.000 ,40000.000 ,40000.000 
178427.600 ,6895.600 ,234.200 ,50.800 ,8352.600 ,120.667 ,339.800 ,2075.333 ,70.375 ,6828.000 ,469.222 ,6246.000 ,2078.000 
249123.400 ,70028.000 ,3530.000 ,9794.167 ,37902.200 ,2308.167 ,52733.800 ,3042.000 ,39.889 ,35000.000 ,2677.000 ,35000.000 ,35000.000 
344228.400 ,22914.857 ,2007.000 ,816.000 ,6621.286 ,555.167 ,5298.200 ,13.000 ,12.000 ,6000.000 ,469.222 ,5900.000 ,6062.375 
197882.200 ,59574.000 ,4852.800 ,6557.200 ,41319.000 ,1973.000 ,40863.400 ,328.400 ,323.500 ,41158.800 ,3136.000 ,41000.000 ,41158.400 
200055.500 ,58484.143 ,2194.200 ,7628.000 ,29139.143 ,1923.600 ,44889.375 ,4207.800 ,4432.200 ,25000.000 ,1912.000 ,25000.000 ,25000.000 
